File_Name,Max_Time
GaCo01_01,121.1715
GaCo02_01,121.1715
GaCo02_02,121.1715
GaCo03_01,121.1715
GaCo03_02,121.1715
GaCo04_01,121.1715
GaCo04_02,121.1715
GaCo05_01,121.1715
GaCo05_02,121.1715
GaCo06_01,121.1715
GaCo06_02,116.1719
GaCo07_01,121.1715
GaCo07_02,121.1715
GaCo08_01,121.1715
GaCo08_02,121.1715
GaCo09_01,121.1715
GaCo09_02,121.1715
GaCo10_01,121.1715
GaCo10_02,121.1715
GaCo11_01,121.1715
GaCo12_01,121.1715
GaCo13_01,121.1715
GaCo13_02,121.1715
GaCo13_10,115.4619
GaCo14_01,121.1715
GaCo14_02,121.1715
GaCo14_10,121.1715
GaCo15_01,121.1715
GaCo15_02,121.1715
GaCo15_10,121.1715
GaCo16_01,121.1715
GaCo16_02,121.1715
GaCo16_10,51.2364
GaCo17_01,121.1715
GaCo17_02,121.1715
GaCo17_10,121.1715
GaCo22_01,121.1715
GaCo22_10,121.1715
GaPt03_01,121.1715
GaPt04_01,121.1715
GaPt05_01,121.1715
GaPt06_01,121.1715
GaPt07_01,121.1715
GaPt07_02,121.1715
GaPt08_01,121.1715
GaPt08_02,121.1715
GaPt09_01,121.1715
GaPt09_02,121.1715
GaPt12_01,121.1715
GaPt12_02,121.1715
GaPt13_01,121.1715
GaPt13_02,121.1715
GaPt13_10,121.1715
GaPt14_01,121.1715
GaPt14_02,121.1715
GaPt14_10,121.1715
GaPt15_01,121.1715
GaPt15_02,121.1715
GaPt15_10,121.1715
GaPt16_01,121.1715
GaPt16_02,121.1715
GaPt16_10,121.1715
GaPt17_01,121.1715
GaPt17_02,121.1715
GaPt17_10,121.1715
GaPt18_01,121.1715
GaPt18_02,121.1715
GaPt18_10,121.1715
GaPt19_01,121.1715
GaPt19_02,121.1715
GaPt19_10,121.1715
GaPt20_01,121.1715
GaPt20_02,121.1715
GaPt20_10,121.1715
GaPt21_01,121.1715
GaPt21_02,121.1715
GaPt21_10,121.1715
GaPt22_01,121.1715
GaPt22_02,121.1715
GaPt22_10,121.1715
GaPt23_01,121.1715
GaPt23_02,121.1715
GaPt23_10,121.1715
GaPt24_01,121.1715
GaPt24_02,121.1715
GaPt24_10,121.1715
GaPt25_01,121.1715
GaPt25_02,121.1715
GaPt25_10,121.1715
